Car Name,Car year,Car Mileage,Car Price
Renault Captur (ENERGY) dCi 90 INTENS,2014,225 069 km,8 590
Renault Espace Energy dCi 160 EDC Initiale Paris,2015,179 781 km,15 450
Peugeot 3008 1.6 BlueHDI S&S EAT6 Allure,2018,190 825 km,17 986
BMW X1 sDrive20i Aut. xLine,2012,279 000 km,9 999
Volkswagen Tiguan 2.0 TDI SCR DSG 4Motion Life,2021,91 494 km,26 950
Audi A5 Sportback 45 TFSI quattro S tronic,2020,49 599 km,33 900
Land Rover Range Rover Sport 3.0 TDV6 HSE Aut,2011,191 000 km,13 950
Ford EcoSport 1.5 EcoBlue Trend,2018,88 294 km,12 990
Ford Focus 1.8 Titanium,2009,249 100 km,3 390
Ford Fiesta,2009,227 000 km,4 300
Renault Megane ENERGY TCe 115 Start & Stop LIMITED,2012,149 281 km,5 950
Ford Focus,2018,118 600 km,8 700
Mercedes-Benz GLA 220 CDI 4Matic 7G-DCT AMG Line,2014,192 000 km,18 499
BMW X1 xDrive20d Aut. Advantage,2017,133 000 km,18 999
Renault Megane ENERGY dCi 110 LIMITED,2018,191 000 km,10 394
Mitsubishi ASX 1.8 DI-D 4WD Instyle,2011,166 418 km,9 050
Porsche Panamera 4 E-Hybrid Sport Turismo Platinum Edition,2022,34 200 km,119 000
BMW M4 M440i xDrive AT MHEV,2022,30 210 km,56 899
Renault Espace Energy dCi 160 EDC Intens,2015,309 067 km,12 200
Ford Focus 1.5 EcoBlue Trend Edition,2019,38 420 km,15 490
Fiat Doblo,2011,156 000 km,6 200
Honda Civic 1.8i Aut Sport,2013,178 000 km,10 500
BMW X3 xDrive20d Aut. xLine,2014,192 903 km,18 990
Mitsubishi ASX 1.8 DI-D 4WD Instyle,2015,171 215 km,11 950
Dacia Sandero Stepway,2016,169 090 km,6 950
Volkswagen Passat,2012,308 000 km,7 900
Citroën C-Crosser,2008,245 000 km,5 499
Hyundai I30,2010,235 000 km,4 199
BMW Seria 5 520i AT,2018,171 441 km,27 251
Nissan Juke,2011,174 000 km,7 999
BMW iX xDrive40,2022,3 000 km,75 000
Land Rover Range Rover Velar,2018,117 200 km,32 900
